=== Training started: 2026-08-16T18:36:10.683148 ===
# commit: e926090e666508e768b9fbda13a330504770b1ca  (есть незакоммиченные изменения!)
# config md5: 34e3428f56da8063fc5f7a5404668a16
# dataset: /data/datasets/multires_krsk_33f
#   n_time=16072 n_feat=33 nodes=133279
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.01913    0.9918          --        --  18:38:55
# lr: косинус, разогрев 1000 шагов, 12853 шагов/эпоху, всего 411296, до 0 от базового
    1   1     0.01794     0.01865    0.9921     0.01865         0  19:15:15
    2   1     0.01781     0.01856    0.9921     0.01856         0  19:51:33
    3   1     0.01776     0.01855    0.9921     0.01855         0  20:27:53
    4   1     0.01773     0.01849    0.9921     0.01849         0  21:04:13
    5   1     0.01770     0.01846    0.9921     0.01846         0  21:40:32
    6   1     0.01767     0.01848    0.9921     0.01846         1  22:16:50
    7   1     0.01737     0.01796    0.9924     0.01796         0  22:58:48
    8   1     0.01711     0.01784    0.9924     0.01784         0  23:41:42
    9   2     0.02212     0.01798    0.9924     0.01784         1  01:02:49
   10   2     0.02193     0.01793    0.9924     0.01784         2  02:23:09
   11   2     0.02184     0.01790    0.9924     0.01784         3  03:42:57
   12   2     0.02176     0.01787    0.9924     0.01784         4  05:02:46
   13   2     0.02169     0.01784    0.9924     0.01784         5  06:22:34
   14   2     0.02164     0.01783    0.9924     0.01783         0  07:42:23
   15   2     0.02158     0.01780    0.9924     0.01780         0  09:02:12
