=== Training started: 2026-03-10T10:57:32.343759 ===
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.02075    0.9913          --        --  11:03:42
    1   1     0.01769     0.01944    0.9919     0.01944         0  12:53:46
    2   1     0.01756     0.01936    0.9919     0.01936         0  14:43:48
    3   1     0.01751     0.01933    0.9919     0.01933         0  16:33:46
    4   1     0.01747     0.01929    0.9919     0.01929         0  18:23:56
    5   1     0.01745     0.01924    0.9920     0.01924         0  20:18:51
    6   1     0.01743     0.01927    0.9920     0.01924         1  22:13:37
    7   1     0.01698     0.01858    0.9922     0.01858         0  00:33:15
    8   1     0.01664     0.01848    0.9923     0.01848         0  02:51:58
    9   2     0.02244     0.01860    0.9923     0.01848         1  07:22:05
   10   2     0.02220     0.01859    0.9922     0.01848         2  11:51:41
   11   2     0.02207     0.01859    0.9923     0.01848         3  16:29:09
   12   2     0.02197     0.01858    0.9923     0.01848         4  20:59:36
   13   2     0.02188     0.01851    0.9923     0.01848         5  01:29:51
   14   2     0.02180     0.01851    0.9923     0.01848         6  06:00:02
   15   2     0.02174     0.01848    0.9923     0.01848         7  10:30:47
   16   2     0.02167     0.01846    0.9923     0.01846         0  15:01:43

