=== Training started: 2026-08-11T09:31:24.198951 ===
# commit: 8754837058893bce08413532343174d20091bfff  (есть незакоммиченные изменения!)
# config md5: cf3fab762dabf0dd7fc71f203ef4f7f0
# dataset: /data/datasets/multires_krsk_33f
#   n_time=16072 n_feat=33 nodes=133279
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.02091    0.9911          --        --  09:34:15
# lr: косинус, разогрев 1000 шагов, 12853 шагов/эпоху, всего 411296, до 0 от базового
    1   1     0.01879     0.01943    0.9917     0.01943         0  10:11:54
    2   1     0.01859     0.01935    0.9918     0.01935         0  10:49:26
    3   1     0.01852     0.01926    0.9918     0.01926         0  11:26:40
    4   1     0.01847     0.01926    0.9918     0.01926         1  12:03:50
    5   1     0.01844     0.01922    0.9918     0.01922         0  12:41:01
    6   1     0.01841     0.01920    0.9918     0.01920         0  13:17:58
    7   1     0.01782     0.01832    0.9922     0.01832         0  14:00:26
    8   1     0.01741     0.01810    0.9923     0.01810         0  14:42:58
    9   2     0.02268     0.01820    0.9923     0.01810         1  16:03:03
   10   2     0.02242     0.01815    0.9923     0.01810         2  17:23:13
   11   2     0.02228     0.01806    0.9923     0.01806         0  18:43:23
   12   2     0.02217     0.01803    0.9923     0.01803         0  20:03:39
   13   2     0.02209     0.01799    0.9924     0.01799         0  21:23:45
   14   2     0.02201     0.01796    0.9924     0.01796         0  22:43:59
   15   2     0.02194     0.01793    0.9924     0.01793         0  00:04:15
   16   2     0.02188     0.01789    0.9924     0.01789         0  01:24:34
   17   3     0.02733     0.01801    0.9924     0.01789         1  03:23:11
   18   3     0.02722     0.01803    0.9923     0.01789         2  05:21:51
   19   3     0.02715     0.01801    0.9924     0.01789         3  07:20:28
   20   3     0.02709     0.01800    0.9924     0.01789         4  09:19:05
   21   3     0.02704     0.01801    0.9923     0.01789         5  11:17:35
   22   3     0.02699     0.01800    0.9924     0.01789         6  13:16:04
   23   3     0.02695     0.01799    0.9924     0.01789         7  15:14:31
   24   3     0.02691     0.01796    0.9924     0.01789         8  17:12:56
   25   4     0.03173     0.01804    0.9923     0.01789         1  19:49:39
   26   4     0.03167     0.01804    0.9923     0.01789         2  22:26:24
   27   4     0.03163     0.01804    0.9923     0.01789         3  01:03:04
   28   4     0.03160     0.01804    0.9923     0.01789         4  03:39:58
   29   4     0.03158     0.01804    0.9923     0.01789         5  06:17:03
   30   4     0.03157     0.01804    0.9923     0.01789         6  08:54:06
