=== Training started: 2026-08-07T12:22:38.370998 ===
# commit: d03d200d240313ba1ef0b7dfd7396b289bcf4694  (есть незакоммиченные изменения!)
# config md5: 31f0de5ac05630daaf46fb4ac21e54a9
# dataset: /data/datasets/multires_krsk_33f
#   n_time=16072 n_feat=33 nodes=133279
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.21405    0.9091          --        --  12:29:17
    1   1     0.03993     0.03460    0.9839     0.03460         0  13:59:09
    2   1     0.03238     0.03254    0.9850     0.03254         0  15:28:58
    3   1     0.03090     0.03130    0.9856     0.03130         0  16:58:11
    4   1     0.03000     0.03062    0.9860     0.03062         0  18:28:06
    5   1     0.02936     0.03008    0.9863     0.03008         0  19:57:45
    6   1     0.02885     0.02962    0.9866     0.02962         0  21:26:59
    7   1     0.02117     0.02014    0.9912     0.02014         0  23:08:52
    8   1     0.01890     0.01929    0.9917     0.01929         0  00:51:20
    9   2     0.02432     0.01911    0.9918     0.01911         0  04:08:10
   10   2     0.02371     0.01890    0.9919     0.01890         0  07:25:29
   11   2     0.02340     0.01876    0.9920     0.01876         0  10:42:55
   12   2     0.02318     0.01869    0.9920     0.01869         0  13:59:59
   13   2     0.02301     0.01860    0.9920     0.01860         0  17:17:23
   14   2     0.02287     0.01847    0.9921     0.01847         0  20:35:22
   15   2     0.02275     0.01841    0.9921     0.01841         0  23:53:29
   16   2     0.02264     0.01844    0.9921     0.01841         1  03:11:39
