=== Training started: 2026-08-11T12:40:32.389521 ===
# commit: e92ce06073bf815c96caf8c57f2ee1dd915b9802  (есть незакоммиченные изменения!)
# config md5: 17a7c26c464aab0a8949364ff532f104
# dataset: /data/datasets/wb2_512x256_33f_v3
#   n_time=17532 n_feat=33 nodes=512x256
epochs=30  max_ar=3  epochs_per_stage=10
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.46790    0.7803          --        --  12:43:32
    1   1     0.15966     0.12514    0.9408     0.12514         0  13:29:00
    2   1     0.11001     0.10792    0.9504     0.10792         0  14:14:26
    3   1     0.09612     0.09688    0.9568     0.09688         0  14:59:51
    4   1     0.08926     0.09346    0.9590     0.09346         0  15:45:14
    5   1     0.08518     0.08930    0.9610     0.08930         0  16:30:35
    6   1     0.08223     0.08716    0.9621     0.08716         0  17:16:05
    7   1     0.08004     0.08537    0.9632     0.08537         0  18:01:41
    8   1     0.07833     0.08393    0.9640     0.08393         0  18:47:04
    9   1     0.07689     0.08291    0.9646     0.08291         0  19:32:28
   10   1     0.07569     0.08121    0.9653     0.08121         0  20:17:52
   11   2     0.10037     0.08370    0.9639     0.08121         1  21:44:29
   12   2     0.09688     0.08401    0.9637     0.08121         2  23:11:13
   13   2     0.09532     0.08212    0.9647     0.08121         3  00:37:56
   14   2     0.09386     0.08344    0.9642     0.08121         4  02:04:55
   15   2     0.09273     0.08254    0.9646     0.08121         5  03:32:58
   16   2     0.09172     0.08221    0.9647     0.08121         6  05:00:52
   17   2     0.09083     0.08205    0.9648     0.08121         7  06:28:22
   18   2     0.09010     0.08225    0.9647     0.08121         8  07:56:07
   19   2     0.08940     0.08065    0.9654     0.08065         0  09:24:00
