=== Training started: 2026-03-10T10:23:26.016274 ===
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.02075    0.9913          --        --  10:29:32
    1   1     0.01717     0.01869    0.9922     0.01869         0  12:48:24
    2   1     0.01669     0.01862    0.9923     0.01862         0  15:07:10
    3   1     0.01646     0.01841    0.9923     0.01841         0  17:25:54
    4   1     0.01629     0.01834    0.9924     0.01834         0  19:46:20
    5   1     0.01616     0.01834    0.9924     0.01834         1  22:09:39
    6   1     0.01604     0.01824    0.9924     0.01824         0  00:28:52
    7   1     0.01594     0.01822    0.9924     0.01822         0  02:47:19
    8   1     0.01585     0.01839    0.9924     0.01822         1  05:05:34
    9   2     0.02271     0.01842    0.9923     0.01822         1  09:36:21
   10   2     0.02228     0.01846    0.9923     0.01822         2  14:14:00
   11   2     0.02209     0.01851    0.9923     0.01822         3  18:45:08
   12   2     0.02196     0.01857    0.9923     0.01822         4  23:16:09
   13   2     0.02184     0.01855    0.9923     0.01822         5  03:47:29
   14   2     0.02174     0.01857    0.9922     0.01822         6  08:19:06
   15   2     0.02165     0.01851    0.9923     0.01822         7  12:49:58
   16   2     0.02157     0.01847    0.9923     0.01822         8  17:20:40
