=== Training started: 2026-08-13T20:21:22.256545 ===
# commit: 4092ea4dad682cc49d53772e31d8e3631209c2df  (есть незакоммиченные изменения!)
# config md5: d689e571882565494fd4acf5ca8bf341
# dataset: /data/datasets/multires_krsk_33f
#   n_time=16072 n_feat=33 nodes=133279
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.03336    0.9860          --        --  20:33:10
    1   1     0.02253     0.02285    0.9900     0.02285         0  21:20:00
    2   1     0.02190     0.02257    0.9902     0.02257         0  22:02:51
    3   1     0.02171     0.02246    0.9902     0.02246         0  22:45:43
    4   1     0.02159     0.02238    0.9903     0.02238         0  23:28:34
    5   1     0.02150     0.02228    0.9903     0.02228         0  00:11:27
    6   1     0.02143     0.02227    0.9903     0.02227         0  00:54:20
    7   1     0.01867     0.01878    0.9920     0.01878         0  01:43:20
    8   1     0.01779     0.01840    0.9922     0.01840         0  02:32:19
    9   2     0.02318     0.01844    0.9922     0.01840         1  04:06:03
   10   2     0.02283     0.01835    0.9922     0.01835         0  05:39:47
   11   2     0.02264     0.01825    0.9922     0.01825         0  07:13:31
   12   2     0.02250     0.01823    0.9923     0.01823         0  08:47:13
   13   2     0.02239     0.01818    0.9923     0.01818         0  10:21:04
   14   2     0.02230     0.01811    0.9923     0.01811         0  11:54:54
   15   2     0.02221     0.01808    0.9923     0.01808         0  13:28:42
   16   2     0.02213     0.01806    0.9923     0.01806         0  15:02:24
   17   3     0.02770     0.01823    0.9923     0.01806         1  17:20:56
   18   3     0.02757     0.01821    0.9923     0.01806         2  19:39:33
   19   3     0.02749     0.01818    0.9923     0.01806         3  21:58:07
   20   3     0.02742     0.01817    0.9923     0.01806         4  00:16:40
   21   3     0.02735     0.01821    0.9923     0.01806         5  02:35:34
   22   3     0.02730     0.01820    0.9923     0.01806         6  04:54:12
   23   3     0.02724     0.01819    0.9923     0.01806         7  07:12:47
   24   3     0.02719     0.01817    0.9923     0.01806         8  09:31:22
