=== Training started: 2026-07-25T17:03:28.236110 ===
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.02091    0.9911          --        --  17:06:14
    1   1     0.01876     0.01943    0.9917     0.01943         0  17:42:54
    2   1     0.01859     0.01935    0.9918     0.01935         0  18:19:25
    3   1     0.01852     0.01926    0.9918     0.01926         0  18:55:58
    4   1     0.01847     0.01927    0.9918     0.01926         1  19:32:30
    5   1     0.01844     0.01924    0.9918     0.01924         0  20:09:00
    6   1     0.01842     0.01922    0.9918     0.01922         0  20:45:38
    7   1     0.01782     0.01831    0.9922     0.01831         0  21:27:52
    8   1     0.01741     0.01809    0.9923     0.01809         0  22:10:01
    9   2     0.02268     0.01819    0.9923     0.01809         1  23:30:18
   10   2     0.02242     0.01814    0.9923     0.01809         2  00:50:33
   11   2     0.02229     0.01807    0.9923     0.01807         0  02:10:43
   12   2     0.02219     0.01805    0.9923     0.01805         0  03:30:52
   13   2     0.02210     0.01803    0.9923     0.01803         0  04:50:53
   14   2     0.02203     0.01800    0.9924     0.01800         0  06:10:51
   15   2     0.02196     0.01796    0.9924     0.01796         0  07:30:51
   16   2     0.02190     0.01797    0.9924     0.01796         1  08:50:56
   17   3     0.02742     0.01811    0.9923     0.01796         1  10:49:29
   18   3     0.02730     0.01812    0.9923     0.01796         2  12:48:09
   19   3     0.02723     0.01810    0.9923     0.01796         3  14:47:15
   20   3     0.02717     0.01808    0.9923     0.01796         4  16:45:58
   21   3     0.02712     0.01814    0.9923     0.01796         5  18:44:40
   22   3     0.02707     0.01813    0.9923     0.01796         6  20:43:13
   23   3     0.02702     0.01812    0.9923     0.01796         7  22:41:33
   24   3     0.02698     0.01812    0.9923     0.01796         8  00:40:15
   25   4     0.03185     0.01827    0.9922     0.01796         1  03:17:19
   26   4     0.03174     0.01827    0.9922     0.01796         2  05:53:51
   27   4     0.03168     0.01832    0.9922     0.01796         3  08:30:59
   28   4     0.03162     0.01834    0.9922     0.01796         4  11:07:50
   29   4     0.03157     0.01834    0.9922     0.01796         5  13:44:41
