=== Training started: 2026-08-07T12:22:13.527542 ===
# commit: d03d200d240313ba1ef0b7dfd7396b289bcf4694  (есть незакоммиченные изменения!)
# config md5: ba51911d4062316f40bf02a4578131d4
# dataset: /data/datasets/multires_krsk_33f
#   n_time=16072 n_feat=33 nodes=133279
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.02091    0.9911          --        --  12:27:29
    1   1     0.01876     0.01943    0.9917     0.01943         0  13:43:18
    2   1     0.01859     0.01935    0.9918     0.01935         0  14:58:51
    3   1     0.01852     0.01926    0.9918     0.01926         0  16:14:58
    4   1     0.01847     0.01928    0.9918     0.01926         1  17:30:56
    5   1     0.01844     0.01924    0.9918     0.01924         0  18:46:32
    6   1     0.01842     0.01922    0.9918     0.01922         0  20:02:20
    7   1     0.01840     0.01918    0.9918     0.01918         0  21:18:36
    8   1     0.01838     0.01917    0.9918     0.01918         1  22:34:57
    9   2     0.02390     0.01933    0.9918     0.01918         1  01:01:28
   10   2     0.02380     0.01937    0.9918     0.01918         2  03:28:52
   11   2     0.02376     0.01930    0.9918     0.01918         3  05:55:53
   12   2     0.02374     0.01931    0.9918     0.01918         4  08:22:45
   13   2     0.02372     0.01933    0.9918     0.01918         5  10:49:43
   14   2     0.02371     0.01931    0.9918     0.01918         6  13:17:01
   15   2     0.02370     0.01929    0.9918     0.01918         7  15:43:57
   16   2     0.02368     0.01931    0.9918     0.01918         8  18:10:54
   17   3     0.02931     0.01941    0.9917     0.01918         1  21:48:01
   18   3     0.02926     0.01943    0.9917     0.01918         2  01:25:07
   19   3     0.02924     0.01942    0.9917     0.01918         3  04:11:22
   20   3     0.02922     0.01941    0.9917     0.01918         4  06:08:44
   21   3     0.02921     0.01947    0.9917     0.01918         5  08:06:10
   22   3     0.02920     0.01943    0.9917     0.01918         6  10:03:46
   23   3     0.02919     0.01948    0.9917     0.01918         7  12:01:26
