=== Training started: 2026-08-18T09:47:56.813276 ===
# commit: b8a99b75744be4338f7361cfeb0580cd0cdfa1f6  (есть незакоммиченные изменения!)
# config md5: 71ad7b975c3f93bcb50e1e7b4bea2ba2
# dataset: /data/datasets/multires_krsk_33f
#   n_time=16072 n_feat=33 nodes=133279
epochs=32  max_ar=4  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.02091    0.9911          --        --  09:50:42
# валидация на 4 горизонтах, отбор по среднему
    1   1     0.01876     0.04148    0.9917     0.04148         0  10:35:02
#   по горизонтам: +6ч 0.01944  +12ч 0.03318  +18ч 0.04939  +24ч 0.06391
    2   1     0.01859     0.04134    0.9918     0.04134         0  11:19:16
#   по горизонтам: +6ч 0.01932  +12ч 0.03310  +18ч 0.04928  +24ч 0.06367
    3   1     0.01852     0.04113    0.9918     0.04113         0  12:03:28
#   по горизонтам: +6ч 0.01927  +12ч 0.03302  +18ч 0.04899  +24ч 0.06325
    4   1     0.01848     0.04109    0.9918     0.04109         0  12:47:57
#   по горизонтам: +6ч 0.01924  +12ч 0.03299  +18ч 0.04903  +24ч 0.06308
    5   1     0.01844     0.04085    0.9918     0.04085         0  13:32:35
#   по горизонтам: +6ч 0.01921  +12ч 0.03297  +18ч 0.04875  +24ч 0.06249
    6   1     0.01842     0.04090    0.9918     0.04085         1  14:17:19
#   по горизонтам: +6ч 0.01924  +12ч 0.03304  +18ч 0.04880  +24ч 0.06252
    7   1     0.01782     0.03915    0.9922     0.03915         0  15:07:00
#   по горизонтам: +6ч 0.01834  +12ч 0.03178  +18ч 0.04676  +24ч 0.05974
    8   1     0.01740     0.03916    0.9923     0.03915         1  15:56:44
#   по горизонтам: +6ч 0.01812  +12ч 0.03168  +18ч 0.04683  +24ч 0.06000
    9   2     0.02269     0.03617    0.9923     0.03617         0  17:24:48
#   по горизонтам: +6ч 0.01819  +12ч 0.02921  +18ч 0.04333  +24ч 0.05394
   10   2     0.02243     0.03607    0.9923     0.03607         0  18:52:21
#   по горизонтам: +6ч 0.01812  +12ч 0.02901  +18ч 0.04325  +24ч 0.05390
   11   2     0.02229     0.03602    0.9923     0.03602         0  20:20:04
#   по горизонтам: +6ч 0.01811  +12ч 0.02894  +18ч 0.04315  +24ч 0.05387
   12   2     0.02219     0.03609    0.9923     0.03602         1  21:47:46
#   по горизонтам: +6ч 0.01804  +12ч 0.02889  +18ч 0.04321  +24ч 0.05420
   13   2     0.02211     0.03579    0.9924     0.03579         0  23:15:21
#   по горизонтам: +6ч 0.01801  +12ч 0.02878  +18ч 0.04286  +24ч 0.05349
   14   2     0.02203     0.03588    0.9924     0.03579         1  00:43:02
#   по горизонтам: +6ч 0.01800  +12ч 0.02876  +18ч 0.04296  +24ч 0.05377
   15   2     0.02196     0.03575    0.9924     0.03575         0  02:11:36
#   по горизонтам: +6ч 0.01794  +12ч 0.02867  +18ч 0.04285  +24ч 0.05356
   16   2     0.02190     0.03575    0.9924     0.03575         1  03:40:26
#   по горизонтам: +6ч 0.01792  +12ч 0.02863  +18ч 0.04285  +24ч 0.05360
   17   3     0.02742     0.03474    0.9923     0.03474         0  05:46:18
#   по горизонтам: +6ч 0.01811  +12ч 0.02877  +18ч 0.04103  +24ч 0.05105
   18   3     0.02730     0.03452    0.9923     0.03452         0  07:53:30
#   по горизонтам: +6ч 0.01811  +12ч 0.02866  +18ч 0.04073  +24ч 0.05057
   19   3     0.02723     0.03444    0.9923     0.03444         0  10:00:37
#   по горизонтам: +6ч 0.01811  +12ч 0.02864  +18ч 0.04065  +24ч 0.05036
