=== Training started: 2026-03-26T18:38:44.630222 ===
epochs=64  max_ar=4  epochs_per_stage=16
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.02844    0.9916          --        --  18:44:22
    1   1     0.01002     0.00950    0.9803     0.00950         0  20:25:01
    2   1     0.00952     0.00954    0.9789     0.00950         1  22:05:33
    3   1     0.00936     0.00896    0.9760     0.00896         0  23:46:05
    4   1     0.00925     0.00936    0.9730     0.00896         1  01:26:31
    5   1     0.00914     0.00894    0.9712     0.00894         0  03:06:59
    6   1     0.00909     0.00974    0.9695     0.00894         1  04:47:28
    7   1     0.00897     0.00931    0.9688     0.00894         2  06:54:40
    8   1     0.00859     0.00894    0.9670     0.00894         3  09:01:59
    9   1     0.00837     0.00843    0.9665     0.00843         0  11:15:15
   10   1     0.00819     0.00813    0.9634     0.00813         0  13:26:07
   11   1     0.00805     0.00838    0.9633     0.00813         1  15:38:20
   12   1     0.00794     0.00807    0.9604     0.00807         0  17:45:46
   13   1     0.00785     0.00849    0.9591     0.00807         1  19:53:07
   14   1     0.00775     0.00803    0.9588     0.00803         0  22:00:18
   15   1     0.00766     0.00820    0.9569     0.00803         1  00:07:33
   16   1     0.00759     0.00829    0.9556     0.00803         2  02:14:51
   17   2     0.00952     0.00777    0.9578     0.00777         0  06:22:23
   18   2     0.00926     0.00796    0.9564     0.00777         1  10:29:57
   19   2     0.00911     0.00801    0.9552     0.00777         2  14:37:33
   20   2     0.00899     0.00815    0.9520     0.00777         3  18:46:32
   21   2     0.00888     0.00768    0.9536     0.00768         0  22:54:34
   22   2     0.00879     0.00797    0.9522     0.00768         1  03:02:24
