=== Training started: 2026-04-03T10:06:21.260651 ===
epochs=50  max_ar=4  epochs_per_stage=12
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     1.27441   -0.0598          --        --  10:06:39
    1   1     0.22555     0.17964    0.6327     0.17964         0  10:13:22
    2   1     0.18004     0.17513    0.6420     0.17513         0  10:20:05
    3   1     0.16886     0.17243    0.6501     0.17243         0  10:26:50
    4   1     0.17717     0.18215    0.6436     0.17243         1  10:33:37
    5   1     0.17650     0.17261    0.6673     0.17243         2  10:40:19
    6   1     0.17217     0.16692    0.6906     0.16692         0  10:47:05
    7   1     0.16874     0.16616    0.6960     0.16616         0  10:53:55
    8   1     0.16651     0.16368    0.7000     0.16368         0  11:00:53
    9   1     0.16415     0.16341    0.7027     0.16341         0  11:07:39
   10   1     0.16269     0.16212    0.7100     0.16212         0  11:14:23
   11   1     0.16124     0.16815    0.6851     0.16212         1  11:21:06
   12   1     0.15975     0.15931    0.7113     0.15931         0  11:27:50
   13   2     0.21502     0.15987    0.7066     0.15931         1  11:41:25
   14   2     0.21157     0.16776    0.7000     0.15931         2  11:54:06
   15   2     0.21063     0.16097    0.6994     0.15931         3  12:06:44
   16   2     0.20901     0.16051    0.6950     0.15931         4  12:19:23
   17   2     0.20740     0.15871    0.7082     0.15871         0  12:32:00
   18   2     0.20661     0.15906    0.7016     0.15871         1  12:44:38
   19   2     0.20536     0.15909    0.7091     0.15871         2  12:57:19
   20   2     0.20432     0.16024    0.7073     0.15871         3  13:10:06
   21   2     0.20381     0.15835    0.7113     0.15835         0  13:22:45
   22   2     0.20267     0.16065    0.7140     0.15835         1  13:35:28
   23   2     0.20204     0.15939    0.7144     0.15835         2  13:48:13
   24   2     0.20128     0.15948    0.7072     0.15835         3  14:00:56
   25   3     0.24345     0.16210    0.7042     0.15835         1  14:19:43
   26   3     0.24210     0.16077    0.6963     0.15835         2  14:38:25
   27   3     0.24047     0.16567    0.6968     0.15835         3  14:57:12
   28   3     0.23970     0.16081    0.7088     0.15835         4  15:15:52
   29   3     0.23911     0.16240    0.6987     0.15835         5  15:34:48
   30   3     0.23799     0.16133    0.7068     0.15835         6  15:53:34
   31   3     0.23705     0.16428    0.6976     0.15835         7  16:12:18
   32   3     0.23651     0.16077    0.6994     0.15835         8  16:30:59
   33   3     0.23560     0.16292    0.7006     0.15835         9  16:49:41
   34   3     0.23496     0.16048    0.7081     0.15835        10  17:08:25
>>> Early stopping at epoch 34
=== Training finished: 2026-04-03T17:08:25.422244 ===
