=== Training started: 2026-08-09T19:45:26.331487 ===
# commit: cb12a685ab8598936c03109d6abe3712fcedc5f5  (есть незакоммиченные изменения!)
# config md5: 2471ebf2b7a177f369b5aa3ba682466b
# dataset: /data/datasets/wb2_512x256_33f_v3
#   n_time=17532 n_feat=33 nodes=512x256
epochs=96  max_ar=12  epochs_per_stage=8
epoch  ar  train_loss    val_loss   val_ACC     best_vl  patience  timestamp
------------------------------------------------------------------------------------------
 init  --          --     0.16255    0.9339          --        --  19:50:39
    1   1     0.05024     0.03716    0.9848     0.03716         0  20:47:44
    2   1     0.03189     0.03004    0.9878     0.03004         0  21:44:42
    3   1     0.02764     0.02830    0.9887     0.02830         0  22:41:37
    4   1     0.02573     0.02625    0.9895     0.02625         0  23:37:58
    5   1     0.02455     0.02566    0.9898     0.02566         0  00:34:12
    6   1     0.02369     0.02564    0.9899     0.02564         0  01:30:24
    7   1     0.02304     0.02403    0.9904     0.02403         0  02:26:09
    8   1     0.02254     0.02383    0.9905     0.02383         0  03:22:01
    9   2     0.03242     0.02420    0.9903     0.02383         1  05:05:59
   10   2     0.03112     0.02345    0.9906     0.02345         0  06:51:43
   11   2     0.03048     0.02334    0.9907     0.02334         0  08:36:08
