all_storms,named_storms,hurricanes,major_hurricanes,ace,start_time,end_time
6,6,3,1,36.1,1851-06-25 00:00:00,1851-10-19 18:00:00
5,5,5,1,73.4,1852-08-19 00:00:00,1852-10-11 18:00:00
9,9,5,2,79.8,1853-08-05 12:00:00,1853-10-22 06:00:00
5,5,3,1,31.1,1854-06-25 00:00:00,1854-10-22 18:00:00
5,5,4,1,18.2,1855-08-06 12:00:00,1855-09-17 06:00:00
6,6,4,2,48.9,1856-08-09 00:00:00,1856-09-22 18:00:00
4,4,3,0,46.9,1857-06-30 00:00:00,1857-09-30 18:00:00
6,6,6,0,44.8,1858-06-12 12:00:00,1858-10-26 06:00:00
8,8,7,1,55.7,1859-07-01 12:00:00,1859-10-29 00:00:00
7,7,6,1,62.1,1860-08-08 00:00:00,1860-10-24 06:00:00
8,8,6,0,49.7,1861-07-06 00:00:00,1861-11-03 18:00:00
6,6,3,0,45.9,1862-06-15 00:00:00,1862-11-25 06:00:00
9,9,5,0,50.3,1863-08-08 00:00:00,1863-09-30 06:00:00
5,5,3,0,26.7,1864-07-16 00:00:00,1864-10-24 18:00:00
7,7,3,0,49.1,1865-05-30 00:00:00,1865-10-25 18:00:00
7,7,6,1,83.7,1866-07-11 12:00:00,1866-10-30 00:00:00
9,9,7,1,60.0,1867-06-21 12:00:00,1867-10-31 00:00:00
4,4,3,0,34.7,1868-09-03 00:00:00,1868-10-17 18:00:00
10,10,7,1,50.9,1869-08-12 00:00:00,1869-10-05 12:00:00
11,11,10,3,95.1,1870-07-30 18:00:00,1870-11-03 18:00:00
8,8,6,2,89.3,1871-06-01 00:00:00,1871-10-13 06:00:00
5,5,4,0,65.4,1872-07-09 00:00:00,1872-10-27 06:00:00
5,5,3,2,69.6,1873-06-01 06:00:00,1873-10-09 06:00:00
7,7,4,0,47.1,1874-07-02 00:00:00,1874-11-04 18:00:00
6,6,5,1,72.4,1875-08-16 00:00:00,1875-10-16 06:00:00
5,5,4,2,57.0,1876-09-09 00:00:00,1876-10-23 18:00:00
8,8,3,1,73.3,1877-08-01 00:00:00,1877-11-29 18:00:00
12,12,10,2,180.9,1878-07-01 00:00:00,1878-12-02 18:00:00
8,8,6,2,63.6,1879-08-09 00:00:00,1879-11-20 06:00:00
